Stream,Season,Acari,Acentrella,Acroneuria,Agapetus,Allocapnia,Alloperla,Ameletidae.Baetidae,Ameletus,Amphinemura,Antocha,Atherix,Atrichopogon,Attenella,Baetidae,Baetis,Bezzia.Palpomyia,Bivalve,Blepharicera,Caloparyphus,Cambaridae,Capniidae,Capniidae.Leuctridae,Ceratopogon,Ceratopogonidae,Ceratopogonidae (P),Ceratopsyche,Chelifera,Cheumatopsyche,Chimarra,Chironomidae (P),Chloroperlidae,Clinocera,Collembola,Copepoda,Cordulegaster,Corethrella,Cryptolabis,Curculionidae (A),Cyclorrhapha 1,Cyrnellus,Dasyhelea,Dicranota,Diplectrona,Diptera,Dixa,Dolichopodidae,Dolophilodes,Drunella,Dytiscidae,Eccoptura,Ectopria,Eloeophila,Empididae,Empididae (P),Epeorus,Ephemera,Ephemerella,Ephemerellidae,Ephemeroptera,Eurylophella,Glossosoma,Gomphidae,Haploperla,Helichus,Helichus (A),Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydrophilidae,Hydropsyche,Hydropsychidae,Hydroptilidae,Isonychia,Isoperla,Isopoda,Lanthus,Lepidostoma,Leptophlebiidae,Leuctra,Limnophila,Limoniidae,Maccaffertium,Micrasema,Molophilus,Nematoda,Nemoura,Nemouridae,Neophylax,Neoplasta,Nigronia,Non-Tanypodinae,Ochrotrichia,Oligochaeta,Optioservus,Optioservus (A),Optioservus.Oulimnius,Ormosia,Oulimnius,Oulimnius (A),Paracapnia,Paragnetina,Paraleptophlebia,Paranemoura,Parapsyche,Peltoperla,Peltoperlidae,Perlesta,Perlidae,Perlidae.Perlodidae,Perlodidae,Philopotamidae,Phryganeidae,Pilaria,Plecoptera,Polycentropodidae,Polycentropus,Potamyia,Probezzia,Promoresia,Prosimulium,Psephenus,Pseudolimnophila,Pteronarcys,Pycnopsyche,Rhyacophila,Roederiodes,Salamander,Sialis,Simuliidae,Simuliidae (P),Simulium,Soyedina,Sphaeromias,Stenelmis,Stenelmis (A),Stylogomphus,Suwallia,Sweltsa,Taeniopteryx,Tallaperla,Tanypodinae,Tipula,Tipulidae,Trichoclinocera,Trichoptera,Trichoptera (P),Wormaldia,Yugus,Zygoptera
COP,Spring,5,0,1,5,2,4,93,7,40,0,0,0,0,6,19,15,0,0,0,2,0,163,2,0,0,3,2,0,0,1,8,0,4,5,0,0,0,0,2,0,0,3,8,0,3,0,0,7,0,0,13,0,0,5,22,8,25,6,17,0,0,0,4,0,0,4,43,0,2,0,3,0,0,0,0,0,4,0,2,68,0,0,1,2,0,0,0,0,4,0,0,217,0,17,0,0,11,0,22,23,0,0,1,0,0,0,3,0,0,0,5,3,0,0,90,0,4,0,0,0,0,0,0,4,0,9,0,0,0,3,0,12,0,0,0,0,0,1,0,1,2,2,0,0,0,9,0,0,7,0
CRO,Spring,5,6,1,60,0,0,225,3,6,0,0,0,0,117,37,11,1,0,0,0,0,48,0,5,0,0,5,1,0,0,9,0,2,16,0,0,0,0,0,0,0,0,10,0,1,0,0,11,0,0,9,1,2,0,19,0,14,5,27,0,0,1,1,0,0,1,25,0,17,0,0,0,0,22,0,0,4,3,17,15,0,2,1,0,1,1,0,0,7,0,0,135,0,18,0,0,21,0,0,8,0,0,0,0,0,0,2,0,1,63,32,1,0,0,59,0,1,0,2,0,0,8,2,1,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,38,0,2,0,2,0,1,0,0
EAS,Spring,1,2,7,0,30,2,11,15,39,0,0,0,0,15,19,16,0,1,0,2,0,134,2,0,0,5,2,3,0,1,6,0,0,2,0,0,0,0,0,0,0,2,18,0,0,0,0,22,0,0,23,0,1,0,245,1,86,5,11,0,0,0,0,0,0,11,32,0,5,0,1,0,0,1,2,0,0,3,11,41,0,0,22,1,0,1,0,0,7,3,0,462,0,4,0,0,28,0,26,10,0,1,0,0,0,0,75,1,0,18,3,1,0,0,41,0,1,0,0,0,1,0,0,11,0,9,13,0,0,1,0,9,0,0,0,0,0,0,0,0,11,28,0,0,0,0,1,0,16,1
KUT,Spring,8,0,0,1,0,0,0,0,44,0,0,0,0,39,90,0,0,0,1,0,0,1264,0,0,0,0,16,0,0,10,0,5,2,0,0,0,0,1,0,1,0,0,58,2,2,0,2,0,0,0,55,0,0,7,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,4,0,0,0,16,1,0,1176,0,0,0,0,0,6,0,0,0,4,0,1146,64,33,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,3,0,0,6,0,5,0,0
RIC,Spring,39,0,10,0,0,0,5,0,391,0,0,0,0,17,6,2,0,0,0,0,0,3187,3,0,3,35,15,143,1,14,0,0,1,4,0,0,0,0,1,0,0,0,35,0,0,0,10,0,0,0,8,2,0,23,0,0,1,0,2,0,0,10,0,0,0,65,0,0,5,0,5,0,0,0,0,0,15,0,0,325,0,0,0,0,0,2,0,3,0,11,2,2209,1,9,7,4,92,0,11,32,0,0,0,0,0,0,1,0,26,80,0,32,0,0,212,3,6,0,0,0,0,0,2,0,1,25,2,0,0,15,0,10,0,0,0,1,2,0,0,6,0,119,1,0,2,46,1,60,0,0
ROL,Spring,2,23,1,14,0,0,3,23,622,1,0,0,0,82,0,1,0,0,0,2,0,2047,2,0,0,0,8,1,0,1,10,2,3,9,0,0,1,0,0,0,0,0,11,0,0,2,0,0,0,0,32,0,1,0,0,0,1,0,2,0,0,3,4,0,1,5,0,26,3,0,0,0,0,0,35,0,0,1,2,231,0,0,0,0,0,0,0,0,7,0,0,81,0,409,9,1,26,0,0,0,0,0,0,0,0,0,2,0,17,145,0,0,0,0,73,0,1,0,0,0,0,0,0,0,0,23,2,0,1,0,2,4,0,0,0,0,0,0,1,0,0,13,2,0,0,3,1,4,6,0
COP,Fall,11,0,3,0,11,0,40,5,0,2,0,17,19,0,2,21,0,0,0,0,0,73,6,0,0,3,16,0,0,1,56,0,284,6,1,0,0,0,1,0,1,4,39,0,14,0,11,0,6,0,18,0,0,2,0,0,0,25,140,0,0,0,2,0,0,2,14,0,19,0,0,0,0,0,17,0,4,0,13,3,0,0,25,0,2,0,0,0,40,0,0,231,0,0,2,1,73,1,30,21,39,0,4,0,0,9,1,0,0,0,14,1,0,0,114,0,7,0,4,0,0,5,0,1,0,11,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,27,1,0,0,33,0,1,0,0
CRO,Fall,45,0,1,0,9,4,9,0,0,0,0,1,0,0,0,14,0,0,0,0,0,23,4,0,0,0,19,2,0,2,13,0,265,48,0,0,0,0,9,0,1,0,2,0,1,0,0,0,0,0,33,0,2,0,0,2,0,0,73,0,0,3,12,0,0,9,2,0,25,0,0,0,0,0,0,0,9,0,5,1,2,0,0,24,1,2,4,0,162,0,1,407,0,19,4,0,115,0,4,47,33,0,4,0,0,0,0,0,2,0,0,0,0,5,79,0,5,0,15,0,0,62,0,0,0,4,0,0,0,0,0,0,1,0,14,0,4,0,0,0,0,72,0,0,0,2,0,0,0,0
EAS,Fall,28,0,10,0,21,1,11,0,0,42,19,1,0,0,0,9,0,0,0,2,13,8,19,0,1,6,25,7,0,7,1,1,48,95,0,0,0,0,1,0,9,1,11,0,8,0,0,0,0,0,11,0,0,1,0,2,0,3,143,1,0,1,5,1,0,14,22,0,11,1,0,9,0,3,0,0,0,0,39,23,1,0,6,0,0,1,0,0,138,0,1,644,0,3,77,0,124,0,55,34,56,0,13,2,4,0,0,0,0,2,0,0,1,15,81,3,26,1,31,0,0,1,0,2,0,38,0,0,0,7,0,4,0,1,0,0,0,0,0,0,0,51,1,0,0,0,2,0,0,0
KUT,Fall,7,0,0,0,46,0,35,1,1,0,0,4,0,22,145,0,0,0,0,1,0,375,0,0,0,1,2,235,0,6,0,0,56,1,0,0,0,0,1,0,0,0,88,0,19,0,10,5,0,0,31,0,0,2,0,1,0,0,3,0,4,0,0,0,0,7,1,0,0,0,1,16,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,1,0,0,567,0,16,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,38,7,0,0,1,0,1,0,0
